id,email,height,units,weight,age,location,goal,exerciseLevel,gender,trainingIntensity,strength,combinedTraining,totalHealth,cognitiveHealth,sexualHealth,createdAt
4ICccdKPlq4RLiunpheT,tarea399@gmail.com,175,metric,69,19,Casa,Perder Grasa y Ganar Músculo,3,Hombre,3,1,1,0,0,0,2025-03-24T18:18:46.095Z
FX2OeKpmMOk2s2B2GuNd,tarea399@gmail.com,186,metric,86,24,Casa,Perder Grasa,4,Hombre,3,1,1,1,0,0,2025-03-25T12:48:35.706Z
FiFi5C9iRwUlZo9Bog9g,tarea399@gmail.com,186,metric,85,30,Casa,Perder Grasa y Ganar Músculo,1,Hombre,3,1,1,0,0,0,2025-03-24T17:28:28.925Z
JuLFOTPTDkLM3YU4VMNH,tarea399@gmail.com,178,metric,77,18,Casa,Perder Grasa y Ganar Músculo,4,Hombre,2,1,1,0,0,0,2025-03-11T13:41:48.316Z
N55OXrBclwGEc5YUAHbf,tarea399@gmail.com,188,metric,85,31,Casa,Perder Grasa y Ganar Músculo,1,Hombre,3,0,1,1,0,0,2025-03-24T17:32:14.985Z
QG3AnDFNlmzlDBbCaCN5,tarea399@gmail.com,185,metric,76,23,Casa,Perder Grasa y Ganar Músculo,2,Hombre,2,1,0,0,0,0,2025-03-24T18:29:00.769Z
QNFm2Tg7sqRVicDAbvhU,tarea399@gmail.com,182,metric,82,28,Casa,Perder Grasa y Ganar Músculo,2,Hombre,3,1,0,0,0,0,2025-03-25T02:19:06.370Z
S5eDXViZDlx52Q7gZZf5,tarea399@gmail.com,179,metric,79,25,Casa,Perder Grasa y Ganar Músculo,1,Hombre,1,1,1,0,0,0,2025-03-24T18:06:44.835Z
WGhHQYCCuEkmgVmOkfmF,tarea399@gmail.com,175,metric,77,25,Casa,Perder Grasa y Ganar Músculo,4,Hombre,5,1,1,0,0,0,2025-03-25T02:44:28.634Z
XQas7YHtSGZuwjOOSMgn,tarea399@gmail.com,176,metric,89,24,Casa,Perder Grasa,2,Hombre,3,1,0,0,0,0,2025-03-25T14:10:28.435Z
ZdwRaKShgJkPO2T9q4BR,tarea399@gmail.com,186,metric,86,28,Casa,Perder Grasa y Ganar Músculo,4,Hombre,2,1,1,0,0,0,2025-03-24T17:43:32.590Z
aAGhwXgWwJPTxmnBq6SV,tarea399@gmail.com,189,metric,89,36,Casa,Perder Grasa,1,Hombre,1,1,1,0,0,0,2025-03-24T18:13:16.013Z
bFEFLifd5CipTeNjXri7,tarea399@gmail.com,180,metric,85,28,Casa,Perder Grasa,2,Hombre,1,1,1,0,0,0,2025-03-25T02:28:41.046Z
cJQl5q8xVbq9czFYEyeE,tarea399@gmail.com,185,metric,88,32,Casa,Ganar Músculo,1,Hombre,1,1,1,0,0,0,2025-03-24T17:55:18.936Z
dKTy0BA08CFHTJ1faE8f,tarea399@gmail.com,180,metric,78,26,Gimnasio,Perder Grasa,4,Hombre,4,0,0,0,1,0,2025-03-26T14:43:45.087Z
qXPIcvBmbLCTA7P3vvtq,tarea399@gmail.com,185,metric,80,30,Casa,Perder Grasa y Ganar Músculo,4,Hombre,2,1,0,0,0,0,2025-03-24T17:24:45.209Z
rbIJrPIri5msCFrgrJ5T,tarea399@gmail.com,180,metric,80,28,Casa,Perder Grasa y Ganar Músculo,5,Hombre,5,1,1,1,0,0,2025-03-25T13:59:48.067Z
twz41cJUjo2AHuhWiMrU,tarea399@gmail.com,181,metric,81,21,Casa,Perder Grasa y Ganar Músculo,3,Hombre,3,1,1,0,0,0,2025-03-25T12:40:46.931Z
xLfPeMDrYe8GCh0jH96A,tarea399@gmail.com,187,metric,88,29,Casa,Perder Grasa,2,Hombre,3,1,1,1,0,0,2025-03-24T17:48:53.965Z
